"Métier","JobID","Nom","ItemID","Niveau_Item","Niveau_Craft","XP","Rareté","Ingrédients"
"Armurier","77","Plaque Grossière","18785","20","0","450","1","ID:2355 x5 | ID:1846 x5"
"Armurier","77","Bouflier","2057","16","0","3600","2","ID:11478 x1 | ID:11528 x10 | ID:20605 x4"
"Armurier","77","Bouclier du Tofu","2090","17","2","3600","2","ID:20584 x1 | ID:20605 x4 | ID:6256 x10"
"Armurier","77","Plastron du Bouftou","5309","7","3","3600","1","ID:20595 x1 | ID:20605 x4 | ID:18785 x2"
"Armurier","77","Plastron du Tofu","5311","8","3","3600","1","ID:20597 x1 | ID:20605 x4 | ID:18785 x2"
"Armurier","77","Plastron Larvesque Humide","14982","14","3","3600","2","ID:5407 x10 | ID:20605 x4 | ID:18785 x2"
"Armurier","77","Epaulettes du Tofu","2089","8","3","3600","1","ID:20597 x1 | ID:20605 x4 | ID:18785 x2"
"Armurier","77","Epaulettes du Bouftou","5310","7","3","3600","1","ID:20595 x1 | ID:20605 x4 | ID:18785 x2"
"Armurier","77","Epaulettes Larvesques Humides","14978","16","4","3600","2","ID:18787 x1 | ID:20605 x4 | ID:18785 x2"
"Armurier","77","Epaulettes d'Helvy","14713","18","7","10800","3","ID:20605 x12 | ID:20597 x1 | ID:12827 x1 | ID:18785 x5"
"Armurier","77","Plastron Shin Larve Impérial","14909","18","8","10800","3","ID:11478 x2 | ID:14828 x1 | ID:18787 x1 | ID:20605 x12"
"Armurier","77","Epaulettes Shin Larve Impériales","14908","20","9","10800","3","ID:14828 x1 | ID:20605 x12 | ID:5407 x10 | ID:20654 x5"
"Armurier","77","Epaulettes Bouftou Impérial","14583","19","9","10800","3","ID:20584 x2 | ID:20595 x1 | ID:9256 x1 | ID:20605 x12"
"Armurier","77","Plastron Bouftou Impérial","14606","20","9","10800","3","ID:9256 x1 | ID:20605 x12 | ID:11528 x10 | ID:20652 x5"
"Armurier","77","Epaulettes Tofu Impérial","14584","20","9","10800","3","ID:20584 x2 | ID:12827 x1 | ID:20605 x12 | ID:6256 x10"
"Armurier","77","Bouclier en Slip","9927","31","10","3600","2","ID:20679 x1 | ID:20606 x5 | ID:20662 x2"
"Armurier","77","Tunique de Zora","12832","30","10","3600","2","ID:20677 x12 | ID:20606 x5 | ID:20662 x2 | ID:2254 x5"
"Armurier","77","Plaque Rudimentaire","20662","35","10","450","1","ID:1851 x5 | ID:11479 x5"
"Armurier","77","Plastron du Trouble","10785","27","14","10800","2","ID:20668 x1 | ID:20606 x10 | ID:20662 x5 | ID:20678 x10"
"Armurier","77","Plastrogu Vert","9815","31","14","3600","2","ID:20686 x1 | ID:2702 x12 | ID:20606 x5"
