=== ITEMS EXTRAITS DU csS ===
UID: 1468669294429602781 | f1 varint = 1468669294429602781
UID: 1470076891930034303 | f1 varint = 1470076891930034303
UID: 1470076891477049445 | f1 varint = 1470076891477049445
UID: 1469795416315789410 | f1 varint = 1469795416315789410
UID: 1470076891745485407 | f1 varint = 1470076891745485407
UID: 1470076892483682697 | f1 varint = 1470076892483682697
UID: 1469795416433229825 | f1 varint = 1469795416433229825
UID: 1469795416584224825 | f1 varint = 1469795416584224825
UID: 1469794946285306304 | f1 varint = 1469794946285306304
UID: 1469794946167866249 | f1 varint = 1469794946167866249
UID: 1469794946151088733 | f1 varint = 1469794946151088733
UID: 1469794946167865828 | f1 varint = 1469794946167865828
UID: 1468669294463156441 | f1 varint = 1468669294463156441
UID: 1469794946285306222 | f1 varint = 1469794946285306222
UID: 1469794946167865624 | f1 varint = 1469794946167865624
UID: 1469794946402746493 | f1 varint = 1469794946402746493
UID: 1469794946167866413 | f1 varint = 1469794946167866413
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1469794915432005758 | f1 varint = 1469794915432005758
UID: 1469794915415228620 | f1 varint = 1469794915415228620
UID: 1469794915415228710 | f1 varint = 1469794915415228710
UID: 1469794915415228623 | f1 varint = 1469794915415228623
UID: 1469794915415228627 | f1 varint = 1469794915415228627
UID: 1469794915415228709 | f1 varint = 1469794915415228709
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1469794915432005758 | f1 varint = 1469794915432005758
UID: 1469794915415228620 | f1 varint = 1469794915415228620
UID: 1469794915415228710 | f1 varint = 1469794915415228710
UID: 1469794915415228623 | f1 varint = 1469794915415228623
UID: 1470357871693660513 | f1 varint = 1470357871693660513
UID: 1469794915415228627 | f1 varint = 1469794915415228627
UID: 1469794915415228709 | f1 varint = 1469794915415228709
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1470357867482579091 | f1 varint = 1470357867482579091
UID: 1469794915415228620 | f1 varint = 1469794915415228620
UID: 1470357867499356166 | f1 varint = 1470357867499356166
UID: 1470357867566465486 | f1 varint = 1470357867566465486
UID: 1470357867314806945 | f1 varint = 1470357867314806945
UID: 1470357902328856943 | f1 varint = 1470357902328856943
UID: 1470357867801346081 | f1 varint = 1470357867801346081
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1470357871341338632 | f1 varint = 1470357871341338632
UID: 1470357871643328909 | f1 varint = 1470357871643328909
UID: 1470357871643328696 | f1 varint = 1470357871643328696
UID: 1470357871660106297 | f1 varint = 1470357871660106297
UID: 1470357871592997160 | f1 varint = 1470357871592997160
UID: 1470357871207121221 | f1 varint = 1470357871207121221
UID: 1470357871274229847 | f1 varint = 1470357871274229847
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1470357873522377015 | f1 varint = 1470357873522377015
UID: 1469795138837414025 | f1 varint = 1469795138837414025
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1470357882649182380 | f1 varint = 1470357882649182380
UID: 1470357876592607615 | f1 varint = 1470357876592607615
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1470357882649182375 | f1 varint = 1470357882649182375
UID: 1469795089294295564 | f1 varint = 1469795089294295564
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1469794946285306304 | f1 varint = 1469794946285306304
UID: 1469794946167866249 | f1 varint = 1469794946167866249
UID: 1469794946151088733 | f1 varint = 1469794946151088733
UID: 1469794946167865828 | f1 varint = 1469794946167865828
UID: 1469794946285306222 | f1 varint = 1469794946285306222
UID: 1469794946167865624 | f1 varint = 1469794946167865624
UID: 1469794946402746493 | f1 varint = 1469794946402746493
UID: 1469794946167866413 | f1 varint = 1469794946167866413
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1469794946285306304 | f1 varint = 1469794946285306304
UID: 1469794946167866249 | f1 varint = 1469794946167866249
UID: 1469794946151088733 | f1 varint = 1469794946151088733
UID: 1469794946167865828 | f1 varint = 1469794946167865828
UID: 1469794946285306222 | f1 varint = 1469794946285306222
UID: 1469794946167865624 | f1 varint = 1469794946167865624
UID: 1469794946402746493 | f1 varint = 1469794946402746493
UID: 1469794946167866413 | f1 varint = 1469794946167866413
UID: 1469794914878357632 | f1 varint = 1469794914878357632
UID: 1469794946285306304 | f1 varint = 1469794946285306304
UID: 1469794946167866249 | f1 varint = 1469794946167866249
UID: 1469794946151088733 | f1 varint = 1469794946151088733
UID: 1469794946167865828 | f1 varint = 1469794946167865828
UID: 1469794946285306222 | f1 varint = 1469794946285306222
UID: 1469794946167865624 | f1 varint = 1469794946167865624
UID: 1469794946402746493 | f1 varint = 1469794946402746493
UID: 1469794946167866249 | f1 varint = 1469794946167866249
UID: 1469794946151088733 | f1 varint = 1469794946151088733
UID: 1469794946167865828 | f1 varint = 1469794946167865828
UID: 1469794946285306222 | f1 varint = 1469794946285306222
UID: 1469794946167865624 | f1 varint = 1469794946167865624
UID: 1469794946402746493 | f1 varint = 1469794946402746493
UID: 1469794946285306304 | f1 varint = 1469794946285306304
UID: 1469794946167866249 | f1 varint = 1469794946167866249
UID: 1469794946151088733 | f1 varint = 1469794946151088733
UID: 1469794946167865828 | f1 varint = 1469794946167865828
